Statistical profiling result from isolate-0x140008000-46289-v8.log, (7037 ticks, 28 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^_getPath /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schema.js:837:18
      1    0.0%    0.0%  Function: ^_command /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/wireprotocol/command.js:41:18
      1    0.0%    0.0%  Function: ^_checkContext /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/model.js:1194:23
      1    0.0%    0.0%  Function: ^_changeState /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/statemachine.js:74:60
      1    0.0%    0.0%  Function: ^Writable.cork node:internal/streams/writable:340:35
      1    0.0%    0.0%  Function: ^StringDecoder node:string_decoder:82:23
      1    0.0%    0.0%  Function: ^Socket.read node:net:776:33
      1    0.0%    0.0%  Function: ^Socket._read node:net:714:34
      1    0.0%    0.0%  Function: ^Socket.<computed> node:net:927:46
      1    0.0%    0.0%  Function: ^SchemaType.splitPath /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schematype.js:135:42
      1    0.0%    0.0%  Function: ^SchemaType.doValidate /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schematype.js:1183:43
      1    0.0%    0.0%  Function: ^SchemaDate.cast /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schema/date.js:341:37
      1    0.0%    0.0%  Function: ^Schema.pathType /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schema.js:1160:37
      1    0.0%    0.0%  Function: ^Readable.resume node:internal/streams/readable:1016:37
      1    0.0%    0.0%  Function: ^Readable.removeAllListeners node:internal/streams/readable:975:49
      1    0.0%    0.0%  Function: ^ReadPreference.slaveOk /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/topologies/read_preference.js:209:44
      1    0.0%    0.0%  Function: ^ReadPreference.resolve /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/topologies/read_preference.js:135:34
      1    0.0%    0.0%  Function: ^ReadPreference.isValid /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/topologies/read_preference.js:186:34
      1    0.0%    0.0%  Function: ^ReadPreference.fromOptions /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/topologies/read_preference.js:104:38
      1    0.0%    0.0%  Function: ^Query._castConditions /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:1973:43
      1    0.0%    0.0%  Function: ^ObjectID.get_inc /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/objectid.js:129:38
      1    0.0%    0.0%  Function: ^Mongoose.set /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/index.js:182:34
      1    0.0%    0.0%  Function: ^Model /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/model.js:100:15
      1    0.0%    0.0%  Function: ^Long.getLowBitsUnsigned /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/long.js:175:45
      1    0.0%    0.0%  Function: ^Kareem.execPre /Users/alexsandr/Downloads/blog-app_2/api/node_modules/kareem/index.js:8:36
      1    0.0%    0.0%  Function: ^Kareem.execPost /Users/alexsandr/Downloads/blog-app_2/api/node_modules/kareem/index.js:120:37
      1    0.0%    0.0%  Function: ^EventEmitter.init node:events:341:29
      1    0.0%    0.0%  Function: ^Document.validate /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:2251:39
      1    0.0%    0.0%  Function: ^Document.init /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:569:35
      1    0.0%    0.0%  Function: ^Document.$__path /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:1703:38
      1    0.0%    0.0%  Function: ^Document.$__init /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:588:38
      1    0.0%    0.0%  Function: ^Document.$__getValue /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:1592:42
      1    0.0%    0.0%  Function: ^Document.$__dirty /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:3064:39
      1    0.0%    0.0%  Function: ^BufferList.<computed> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bl/bl.js:383:44
      1    0.0%    0.0%  Function: ^AsyncResource node:async_hooks:160:14
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/routes/posts.js:41:23
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:4562:18
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:4527:30
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:4509:38
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:2001:43
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/model.js:503:58
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/model.js:376:31
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/helpers/promiseOrCallback.js:32:16
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:2537:23
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/cursor.js:838:41
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/sdam/monitor.js:396:7
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/kareem/index.js:370:24
      1    0.0%    0.0%  Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:280:64

 [C++]:
   ticks  total  nonlib   name
   3117   44.3%   45.4%  T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
   2919   41.5%   42.6%  T _posix_spawnattr_setmacpolicyinfo_np
     85    1.2%    1.2%  T _semaphore_destroy
     66    0.9%    1.0%  T node::builtins::BuiltinLoader::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     49    0.7%    0.7%  T _mach_vm_map
     28    0.4%    0.4%  T _mach_get_times
     18    0.3%    0.3%  T _mach_port_type
     15    0.2%    0.2%  t __os_once_gate_broadcast
     10    0.1%    0.1%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.1%    0.1%  T _mig_dealloc_reply_port
      8    0.1%    0.1%  T __simple_getenv
      5    0.1%    0.1%  T _os_unfair_recursive_lock_unlock
      5    0.1%    0.1%  T _mach_port_allocate
      4    0.1%    0.1%  T __platform_strcmp
      3    0.0%    0.0%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      3    0.0%    0.0%  t std::__1::__hash_table<unsigned long, std::__1::hash<unsigned long>, std::__1::equal_to<unsigned long>, std::__1::allocator<unsigned long> >::remove(std::__1::__hash_const_iterator<std::__1::__hash_node<unsigned long, void*>*>)
      3    0.0%    0.0%  t ___pfz_setup
      3    0.0%    0.0%  T node::AsyncWrap::EmitTraceEventBefore()
      3    0.0%    0.0%  T _os_unfair_recursive_lock_lock_with_options
      3    0.0%    0.0%  T _fcntl
      3    0.0%    0.0%  T _OSAtomicDecrement32
      2    0.0%    0.0%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      2    0.0%    0.0%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  t __os_once_gate_wait
      2    0.0%    0.0%  T node::Environment::RunWeakRefCleanup()
      2    0.0%    0.0%  T node::Emit(node::Environment*, double, node::AsyncHooks::Fields, v8::Local<v8::Function>)
      2    0.0%    0.0%  T node::AsyncWrap::EmitTraceEventAfter(node::AsyncWrap::ProviderType, double)
      2    0.0%    0.0%  T __simple_putline
      1    0.0%    0.0%  t void std::__1::__tree_balance_after_insert<std::__1::__tree_node_base<void*>*>(std::__1::__tree_node_base<void*>*, std::__1::__tree_node_base<void*>*)
      1    0.0%    0.0%  t void node::cares_wrap::(anonymous namespace)::Query<node::cares_wrap::QueryWrap<node::cares_wrap::TxtTraits> >(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)0>(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)5>(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t __pthread_set_main_qos
      1    0.0%    0.0%  t __pthread_mutex_firstfit_lock_slow
      1    0.0%    0.0%  T node::binding::DLOpen(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::NodeArrayBufferAllocator::AllocateUninitialized(unsigned long)
      1    0.0%    0.0%  T node::InternalCallbackScope::InternalCallbackScope(node::Environment*, v8::Local<v8::Object>, node::async_context const&, int)
      1    0.0%    0.0%  T node::InternalCallbackScope::InternalCallbackScope(node::AsyncWrap*, int)
      1    0.0%    0.0%  T node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::Environment::RunAndClearNativeImmediates(bool)
      1    0.0%    0.0%  T node::Environment::GetNow()
      1    0.0%    0.0%  T node::AsyncWrap::MakeCallback(v8::Local<v8::Function>, int, v8::Local<v8::Value>*)
      1    0.0%    0.0%  T node::AsyncWrap::AsyncReset(v8::Local<v8::Object>, double, bool)
      1    0.0%    0.0%  T node::AsyncHooks::push_async_context(double, double, v8::Local<v8::Object>)
      1    0.0%    0.0%  T _write
      1    0.0%    0.0%  T _voucher_mach_msg_clear
      1    0.0%    0.0%  T _task_dyld_process_info_notify_get
      1    0.0%    0.0%  T _semaphore_create
      1    0.0%    0.0%  T _kdebug_typefilter
      1    0.0%    0.0%  T _OSAtomicIncrement32

 [Summary]:
   ticks  total  nonlib   name
    435    6.2%    6.3%  JavaScript
   6396   90.9%   93.2%  C++
    185    2.6%    2.7%  GC
    178    2.5%          Shared libraries
     28    0.4%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
   2928   93.4%   41.6%  T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
     79    2.5%    1.1%  T _semaphore_destroy
     66    2.1%    0.9%  T node::builtins::BuiltinLoader::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.3%    0.1%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.3%    0.1%  t __os_once_gate_broadcast
      5    0.2%    0.1%  T __simple_getenv
      4    0.1%    0.1%  T _mig_dealloc_reply_port
      3    0.1%    0.0%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      3    0.1%    0.0%  T _mach_get_times
      3    0.1%    0.0%  T _fcntl
      3    0.1%    0.0%  T _OSAtomicDecrement32
      2    0.1%    0.0%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.0%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      2    0.1%    0.0%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.0%  t ___pfz_setup
      2    0.1%    0.0%  T __simple_putline
      1    0.0%    0.0%  t void std::__1::__tree_balance_after_insert<std::__1::__tree_node_base<void*>*>(std::__1::__tree_node_base<void*>*, std::__1::__tree_node_base<void*>*)
      1    0.0%    0.0%  t void node::cares_wrap::(anonymous namespace)::Query<node::cares_wrap::QueryWrap<node::cares_wrap::TxtTraits> >(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)0>(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)5>(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t __os_once_gate_wait
      1    0.0%    0.0%  T node::binding::DLOpen(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::NodeArrayBufferAllocator::AllocateUninitialized(unsigned long)
      1    0.0%    0.0%  T node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::Environment::GetNow()
      1    0.0%    0.0%  T _voucher_mach_msg_clear
      1    0.0%    0.0%  T _task_dyld_process_info_notify_get
      1    0.0%    0.0%  T _kdebug_typefilter
      1    0.0%    0.0%  T _OSAtomicIncrement32

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   3117   44.3%  T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
    234    7.5%    Function: ^internalCompileFunction node:internal/vm:72:33
    231   98.7%      Function: ^wrapSafe node:internal/modules/cjs/loader:1252:18
    230   99.6%        Function: ^Module._compile node:internal/modules/cjs/loader:1318:37
    224   97.4%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1377:37
    224  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:1190:33
      6    2.6%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1377:37
      6  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:1190:33
      3    1.3%      LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1252:18
      3  100.0%        LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1318:37
      3  100.0%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1377:37
      2   66.7%            Function: ^Module.load node:internal/modules/cjs/loader:1190:33
      1   33.3%            LazyCompile: ~Module.load node:internal/modules/cjs/loader:1190:33
    220    7.1%    T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
     14    6.4%      LazyCompile: *get /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/helpers/get.js:8:30
      5   35.7%        Function: ^Query.cast /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:4926:32
      5  100.0%          Function: ^Query._castConditions /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:1973:43
      4   80.0%            Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:2231:46
      1   20.0%            Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:2001:43
      3   21.4%        LazyCompile: *Document.$toObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:3279:40
      2   66.7%          Function: ^Document.toJSON /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:3822:37
      2  100.0%            T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      1   33.3%          Function: ^Document.toObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:3559:39
      1  100.0%            Function: ^Model.$__handleSave /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/model.js:239:41
      3   21.4%        Function: ^getMessageFormat /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/error/cast.js:113:26
      2   66.7%          Function: ^CastError /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/error/cast.js:21:14
      2  100.0%            Function: ^ObjectId.cast /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schema/objectid.js:224:35
      1   33.3%          Function: ^init /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/error/cast.js:50:7
      1  100.0%            Function: ^CastError /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/error/cast.js:21:14
      1    7.1%        Function: ^Query /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:63:15
      1  100.0%          Function: ^model.Query /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/model.js:4984:25
      1  100.0%            Function: ^findOne /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/model.js:2248:33
      1    7.1%        Function: ^NativeCollection.<computed> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:129:43
      1  100.0%          Function: ^Model.$__handleSave /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/model.js:239:41
      1  100.0%            Function: ^Model.$__save /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/model.js:375:35
      1    7.1%        Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/helpers/timestamps/setupTimestamps.js:40:30
      1  100.0%          Function: ^callMiddlewareFunction /Users/alexsandr/Downloads/blog-app_2/api/node_modules/kareem/index.js:480:32
      1  100.0%            Function: ^next /Users/alexsandr/Downloads/blog-app_2/api/node_modules/kareem/index.js:27:22
     11    5.0%      Function: ^ObjectId.cast /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schema/objectid.js:224:35
     11  100.0%        Function: ^SchemaType.applySetters /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schematype.js:1116:45
     11  100.0%          LazyCompile: ~SchemaType._castForQuery /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schematype.js:1600:46
     11  100.0%            LazyCompile: ~SchemaType.castForQuery /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schematype.js:1581:45
     10    4.5%      LazyCompile: *next /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:177:16
      4   40.0%        LazyCompile: *handle /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:136:31
      4  100.0%          Function: ^router /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:46:18
      4  100.0%            LazyCompile: *trim_prefix /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:293:23
      3   30.0%        LazyCompile: *cors /Users/alexsandr/Downloads/blog-app_2/api/node_modules/cors/lib/index.js:159:16
      3  100.0%          Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/cors/lib/index.js:219:57
      3  100.0%            Function: ^originCallback /Users/alexsandr/Downloads/blog-app_2/api/node_modules/cors/lib/index.js:213:39
      2   20.0%        Function: ^cors /Users/alexsandr/Downloads/blog-app_2/api/node_modules/cors/lib/index.js:159:16
      2  100.0%          Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/cors/lib/index.js:219:57
      2  100.0%            Function: ^originCallback /Users/alexsandr/Downloads/blog-app_2/api/node_modules/cors/lib/index.js:213:39
      1   10.0%        LazyCompile: *jsonParser /Users/alexsandr/Downloads/blog-app_2/api/node_modules/body-parser/lib/types/json.js:101:30
      1  100.0%          LazyCompile: *trim_prefix /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:293:23
      1  100.0%            LazyCompile: *next /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:177:16
      9    4.1%      LazyCompile: *deserializeObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/parser/deserializer.js:43:33
      7   77.8%        LazyCompile: *deserializeObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/parser/deserializer.js:43:33
      5   71.4%          LazyCompile: *deserializeObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/parser/deserializer.js:43:33
      5  100.0%            LazyCompile: *deserializeObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/parser/deserializer.js:43:33
      2   28.6%          Function: ^deserialize /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/parser/deserializer.js:19:27
      2  100.0%            Function: ^BSON.deserialize /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/bson.js:134:38
      2   22.2%        Function: ^deserialize /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/parser/deserializer.js:19:27
      2  100.0%          Function: ^BSON.deserialize /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/bson.js:134:38
      2  100.0%            Function: ^parse /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/connection/msg.js:178:8
      8    3.6%      LazyCompile: *json /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/response.js:250:25
      6   75.0%        Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/routes/posts.js:70:17
      6  100.0%          T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      6  100.0%            T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      1   12.5%        Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/routes/users.js:16:20
      1  100.0%          T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      1  100.0%            T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      1   12.5%        Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/routes/categories.js:14:17
      1  100.0%          T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      1  100.0%            T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      7    3.2%      LazyCompile: *processTicksAndRejections node:internal/process/task_queues:67:35
      7    3.2%      Function: ^encodeUrl /Users/alexsandr/Downloads/blog-app_2/api/node_modules/encodeurl/index.js:56:20
      7  100.0%        Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/finalhandler/index.js:86:19
      6   85.7%          Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:640:19
      6  100.0%            LazyCompile: *next /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:177:16
      1   14.3%          LazyCompile: *<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:640:19
      1  100.0%            LazyCompile: *next /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:177:16
      6    2.7%      LazyCompile: *_init /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:690:17
      6  100.0%        LazyCompile: *init /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:676:14
      6  100.0%          Function: ^Document.$__init /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:588:38
      4   66.7%            Function: ^syncWrapper /Users/alexsandr/Downloads/blog-app_2/api/node_modules/kareem/index.js:232:30
      2   33.3%            LazyCompile: *syncWrapper /Users/alexsandr/Downloads/blog-app_2/api/node_modules/kareem/index.js:232:30
      5    2.3%      T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      1   20.0%        LazyCompile: *processTicksAndRejections node:internal/process/task_queues:67:35
      1   20.0%        LazyCompile: *json /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/response.js:250:25
      1  100.0%          Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/routes/categories.js:14:17
      1  100.0%            T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      1   20.0%        Function: ^processTicksAndRejections node:internal/process/task_queues:67:35
      1   20.0%        Function: ^clearBuffer node:internal/streams/writable:532:21
      1  100.0%          LazyCompile: *end node:_http_outgoing:1004:45
      1  100.0%            LazyCompile: *send /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/response.js:111:25
      1   20.0%        Function: ^Module node:internal/modules/cjs/loader:251:16
      1  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:946:24
      1  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:1223:36
      5    2.3%      LazyCompile: *setHeader node:_http_outgoing:646:57
      3   60.0%        LazyCompile: *json /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/response.js:250:25
      1   33.3%          Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/routes/users.js:41:23
      1  100.0%            T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      1   33.3%          Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/routes/posts.js:60:20
      1  100.0%            T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      1   33.3%          Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/routes/posts.js:41:23
      1  100.0%            T node::builtins::SetInternalLoaders(v8::FunctionCallbackInfo<v8::Value> const&)
      1   20.0%        Function: ^header /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/response.js:777:29
      1  100.0%          Function: ^json /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/response.js:250:25
      1  100.0%            Function: ^<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/routes/posts.js:41:23
      1   20.0%        Function: ^expressInit /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/middleware/init.js:29:30
      1  100.0%          LazyCompile: *trim_prefix /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:293:23
      1  100.0%            LazyCompile: *next /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:177:16
      5    2.3%      LazyCompile: *ObjectID /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/objectid.js:37:33
      5  100.0%        LazyCompile: ~castObjectId /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/cast/objectid.js:6:39
      5  100.0%          Function: ^ObjectId.cast /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schema/objectid.js:224:35
      5  100.0%            Function: ^SchemaType.applySetters /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schematype.js:1116:45
      4    1.8%      Function: ^format /Users/alexsandr/Downloads/blog-app_2/api/node_modules/content-type/index.js:65:17
